id,person_id,role,character
ts21930,110613,ACTOR,Lupin Sansei (voice)
ts21930,11377,ACTOR,Ishikawa Goemon (voice)
ts21930,452,ACTOR,Mine Fujiko (voice)
ts21930,348,ACTOR,Daisuke Jigen (voice)
ts21930,22311,ACTOR,Zenigata (voice)
ts25177,28172,ACTOR,Amuro Ray (voice)
ts25177,97338,ACTOR,Char Aznable (voice)
ts25177,7423,ACTOR,Bright Noah (voice)
ts25177,97330,ACTOR,Mirai Yashima (voice)
ts25177,463033,ACTOR,Hayato Kobayashi (voice)
ts25177,22309,ACTOR,Kai Shiden (voice)
ts25177,97336,ACTOR,Frau Bow (voice)
ts25177,97337,ACTOR,Sayla Mass (voice)
ts25177,39712,ACTOR,Ryu Jose (voice)
ts25177,97332,ACTOR,Lalah Sune (voice)
ts25177,94678,ACTOR,Gihren Zabi (voice)
ts25177,21513,ACTOR,Kycilia Zabi (voice)
ts25177,61029,ACTOR,Dozle Zabi (voice)
ts25177,61037,ACTOR,Garma Zabi (voice)
ts25177,26770,ACTOR,Degwin Sodo Zabi (voice)
ts25177,97335,ACTOR,Ramba Ral (voice)
ts25177,97333,ACTOR,Matilda Ajan (voice)
ts25177,95739,ACTOR,M'Quve (voice)
ts25177,466832,ACTOR,Chiyo (voice)
ts25177,172948,ACTOR,Hamon Crowley (voice)
ts25177,104375,DIRECTOR,nan
ts35087,22304,ACTOR,Tetsuro Hoshino (voice)
ts35087,93575,ACTOR,Maetel (voice)
ts35087,95738,ACTOR,Narrator (voice)
ts35087,101140,ACTOR,Conductor (voice)
ts2846,39708,ACTOR,Ippei Mine
ts2846,113536,ACTOR,Professor Hamaguchi
ts2846,114131,ACTOR,Hiyoshi Gou
ts2846,89888,ACTOR,Zuhl
ts2846,508050,ACTOR,Megumi Oka
ts2846,203255,ACTOR,Prince Heinell
ts2846,21514,ACTOR,Daijiro Gou
ts2846,89888,ACTOR,General Oka
ts2846,85704,ACTOR,General Do Bergan
ts2846,26774,ACTOR,Emperor Zu Zanbajil
ts2846,114131,ACTOR,Katherine
ts2846,669052,ACTOR,Ken'ichi Gō
ts2846,669051,ACTOR,Zuhl
ts2846,669050,ACTOR,General Gurul
ts2846,39712,ACTOR,Jangal
ts2846,377,ACTOR,Professor Sakunji
ts2846,188196,ACTOR,nan
ts2846,377,ACTOR,Duke Zaki
ts2846,491443,ACTOR,Kentaro Go / Ragooru (voices)
ts32935,94767,ACTOR,Captain Harlock (voice)
ts32935,96400,ACTOR,Tadashi Daiba (voice)
ts32935,114131,ACTOR,Mime (voice)
ts32935,462345,ACTOR,Kay Yuki / Mayu Oyama (voice)
ts32935,219194,ACTOR,Lafresia (voice)
ts32935,89871,ACTOR,Dr. Zero / prime minister (voice)
ts32935,491444,ACTOR,Yattran (voice)
ts32935,132748,ACTOR,engr. Maji / Android (voice)
ts32935,174053,ACTOR,Masu (voice)
ts32935,107483,ACTOR,Cleo (voice)
ts32935,172948,ACTOR,Dines (voice)
ts32935,85701,ACTOR,Mitsuru Kiruta (voice)
ts32935,114132,ACTOR,Emiralda (voice)
ts32935,21513,ACTOR,Laura (voice)
ts32935,121741,ACTOR,Prof. Daiba (voice)
ts32935,466728,ACTOR,Josibel (voice)
ts32935,522674,ACTOR,Hiroko Daiba / Shizuka Namino (voice)
ts32935,495615,ACTOR,Tochiro Oyama (voice)
ts32935,42383,DIRECTOR,nan
ts32687,21513,ACTOR,Nils (voice)
ts32687,107154,ACTOR,Nils' Father (voice)
ts32687,89871,ACTOR,Ten (voice)
ts32687,93575,ACTOR,Nils' Mother (voice)
ts32687,121264,ACTOR,Carrot (voice)
ts32687,98479,ACTOR,Gunnar (voice)
ts32687,39710,ACTOR,Morton (voice)
ts32687,89896,ACTOR,nan
ts32687,107462,ACTOR,nan
ts32687,26773,ACTOR,Rosenbaum (voice)
ts32687,121262,ACTOR,Gacho (voice)
ts32687,121263,ACTOR,Ondori (voice)
ts32687,42381,ACTOR,Gusta (voice)
ts32687,121265,ACTOR,Ingrid (voice)
ts32687,95733,ACTOR,Dunfuin (voice)
ts32687,121266,ACTOR,Captain Akka (voice)
ts4889,98370,ACTOR,Little Prince (voice)
ts4889,449732,ACTOR,Narrator (voice)
ts4889,483823,ACTOR,Claude (voice)
ts4889,103289,ACTOR,Frank (voice)
ts4889,301904,DIRECTOR,nan
ts4889,452475,DIRECTOR,nan
ts18639,95739,ACTOR,Marin Reigan (voice)
ts18639,174945,ACTOR,Prof. Reigan (voice)
ts18639,85701,ACTOR,Theo Gattler (voice)
ts18639,97333,ACTOR,Aphrodia / Jamie Hoshino (voice)
ts18639,98479,ACTOR,Oliver Jack (voice)
ts18639,21514,ACTOR,Raita Ryu Hokuto (voice)
ts18639,381324,ACTOR,Hera Queenstein (voice)
ts18639,175284,ACTOR,Roy / John (voice)
ts18639,462153,ACTOR,Narrator (voice)
ts12564,1452467,ACTOR,Narrator
ts12564,1452466,ACTOR,Miss Nagisa (voice)
ts12564,1452465,ACTOR,Hiroshi Izumi (voice)
ts12564,1452469,ACTOR,Mao (voice)
ts12564,1452468,DIRECTOR,nan
ts20740,22304,ACTOR,Son Goku / Gohan / Goten
ts20740,22305,ACTOR,Vegeta
ts20740,22309,ACTOR,Piccolo
ts20740,22308,ACTOR,Krillin
ts20740,22306,ACTOR,Bulma / Bulla
ts20740,89870,ACTOR,Oolong
ts20740,22312,ACTOR,Freeza
ts20740,89871,ACTOR,Dr. Briefs
ts20740,42371,ACTOR,Videl
ts20740,30695,ACTOR,Puar
ts20740,7423,ACTOR,Tien Shinhan
ts20740,89874,ACTOR,Android 18
ts20740,42371,ACTOR,Pan
ts20740,89875,ACTOR,Mama
ts20740,489108,ACTOR,Chi-Chi
ts20740,89875,ACTOR,Chaozu
ts20740,28172,ACTOR,Yamcha
ts20740,89877,ACTOR,Marron
ts20740,21513,ACTOR,Lunch
ts20740,42381,ACTOR,Raditz
ts20740,89878,ACTOR,Kibit
ts20740,26773,ACTOR,Master Roshi
ts20740,89879,ACTOR,Majin Buu
ts20740,89880,ACTOR,Mr. Popo
ts20740,61034,ACTOR,Rō Kaiōshin
ts20740,61035,ACTOR,Dabura
ts20740,89883,ACTOR,Burter
ts20740,42381,ACTOR,Garlic Jr.
ts20740,89884,ACTOR,Jeice
ts20740,89885,ACTOR,Dodoria
ts20740,296669,ACTOR,Captain Ginyu
ts20740,60813,ACTOR,Zarbon
ts20740,39712,ACTOR,Nappa
ts20740,85704,ACTOR,Recoome
ts20740,402202,ACTOR,Marron
ts20740,89888,ACTOR,Master Roshi
ts20740,89889,ACTOR,Mama
ts20740,89890,ACTOR,Mama
ts20740,14001,ACTOR,Trunks
ts20740,14002,ACTOR,Android 16
ts20740,42359,ACTOR,Kami
ts20740,26770,ACTOR,Karin
ts20740,89891,ACTOR,Higashi no Kaio
ts20740,36377,ACTOR,Cell
ts20740,175284,ACTOR,East Kaioshin
ts20740,160558,ACTOR,Saichourou
ts20740,61029,ACTOR,Mr. Satan
ts20740,30695,ACTOR,Chi-Chi
ts20740,39707,ACTOR,West Kai
ts20740,11379,ACTOR,Tao Pai Pai
ts20740,61029,ACTOR,Vinegar
ts20740,89893,ACTOR,Dende
ts20740,89894,ACTOR,Spopovich
ts20740,42358,ACTOR,Uranai Baba
ts20740,22308,ACTOR,Uranai Baba
ts20740,61037,ACTOR,Nail
ts20740,89896,ACTOR,Annin
ts20740,85704,ACTOR,Shenron
ts20740,89897,ACTOR,Erasa
ts20740,89870,ACTOR,Karin
ts20740,89883,ACTOR,Tao Pai Pai
ts20740,89885,ACTOR,Android 19
ts20740,340443,ACTOR,Android 17 (voice)
ts21560,22304,ACTOR,Son Goku (voice)
ts21560,22308,ACTOR,Krillin (voice)
ts21560,22306,ACTOR,Bulma (voice)
ts21560,28172,ACTOR,Yamcha (voice)
ts21560,89870,ACTOR,Oolong (voice)
ts21560,30695,ACTOR,Puar (voice)
ts21560,21513,ACTOR,Lunch (voice)
ts21560,42381,ACTOR,Emperor Pilaf (voice)
ts21560,89871,ACTOR,Narrator (voice)
ts21560,11379,ACTOR,Tao Pai Pai (voice)
ts21560,7423,ACTOR,Tien Shinhan (voice)
ts21560,26773,ACTOR,Muten Roshi (voice)
ts21560,85704,ACTOR,Announcer (voice)
ts21560,42359,ACTOR,Piccolo Daimao (voice)
ts21560,22309,ACTOR,Piccolo Jr. (voice)
ts21560,21514,ACTOR,Shuu (voice)
