id,title,type,seasons,runtime,release_year,age_certification,description
ts21930,Lupin the Third,SHOW,6.0,23,1971,TV-14,"Arsene Lupin III is the grandson of the master thief Arsene Lupin. With his cohorts Daisuke Jigen and Goemon Ishikawa XIII and his love interest Fujiko Mine, he pulls off the greatest heists of all time while always escaping the grasp of Inspector Koichi Zenigata."
ts25177,Mobile Suit Gundam,SHOW,1.0,25,1979,TV-Y7,"Mobile Suit Gundam is a televised anime series, produced by Sunrise. Created and directed by Yoshiyuki Tomino, it premiered in Japan on Nagoya Broadcasting Network on April 7, 1979, and lasted until January 26, 1980, spanning 43 episodes. It was the very first Gundam series, which has subsequently been adapted into numerous sequels and spin-offs.

In 1981, the series was re-edited for theatrical release and split into three movies. The characters were designed by Yoshikazu Yasuhiko, and Kunio Okawara was responsible for the mechanical designs, including the eponymous giant robot, the RX-78-2 Gundam. The first movie was released on February 22, 1981."
ts35087,Galaxy Express 999,SHOW,1.0,24,1978,TV-PG,"Galaxy Express 999 is a manga written and drawn by Leiji Matsumoto, as well as various anime films and TV series based on it. It is set in a space-faring, high-tech future in which humans have learned how to transfer their minds into mechanical bodies, thus achieving practical immortality.

The manga won the Shogakukan Manga Award for shōnen in 1978. The anime series won the Animage Anime Grand Prix prize in 1981.

The number ""999"" in the title is pronounced ""Three-Nine,"" as opposed to ""Nine-Nine-Nine,"" ""Nine Ninety-Nine"" or ""Nine Hundred Ninety-Nine.""

Matsumoto was inspired to create Galaxy Express 999 by the idea of a steam train running through the stars in the novel Night on the Galactic Railroad by Kenji Miyazawa."
ts82387,Lupin the 3rd,SHOW,4.0,24,1977,TV-14,"The master thief Lupin III and his cronies continue their globe-trotting exploits, with the stubborn Inspector Zenigata ever at their trail."
ts2846,Chōdenji Machine Voltes V,SHOW,1.0,24,1977,TV-PG,"Chōdenji Machine Voltes V is a Japanese anime television series that was first aired on TV Asahi starting June 4, 1977. It was created by Saburo Yatsude and directed by Tadao Nagahama. Voltes V is the second part of the Robot Romance Trilogy of the Super Robot genre which includes Chōdenji Robo Combattler V and Tōshō Daimos. Like Combattler V, the series was animated by Sunrise and produced by Toei Company. The series was animated by Sunrise on Toei's behalf. This super robot along with the other two aforementioned super robots first appeared the USA as a part of Mattel's Shogun Warriors line of import toys, released in the late 1970s."
ts32935,Space Pirate Captain Harlock,SHOW,1.0,25,1978,TV-PG,"Follows Captain Harlock, an outcast turned space pirate after he rebelled against Earth's Government and humanity's general apathy."
ts32687,The Wonderful Adventures of Nils,SHOW,1.0,29,1980,nan,"The Wonderful Adventures of Nils is an anime adaptation of the novel The Wonderful Adventures of Nils by the Swedish author Selma Lagerlöf. The 52 episode series ran on the Japanese network NHK from January 1980 to March 1981. The series was the very first production by Studio Pierrot. The anime was mostly fairly true to the original, apart from the appearance of Nils' pet hamster, and the greater role allowed to the fox Smirre. The music was written by Czech composer Karel Svoboda."
ts53300,Princess Knight,SHOW,1.0,23,1967,nan,"Princess Sapphire is a princess who was born with a boy's mind and raised as one because of one mischievous angel's mistake. Nevertheless, there is no way a girl can take the throne so her parents and the maid that helped raised her kept it a secret from everyone. Now as a Knight of Ribbon she has to fight to avoid having her identity revealed that Sapphire is a girl. She'll need the help of an angel who is in fact a make-believe angel."
ts4889,The Adventures of the Little Prince,SHOW,1.0,24,1978,TV-G,"Anime series based on the book by Antoine de Saint-Exupéry. The series showed the extended adventures of the Little Prince, Swifty The Space Bird, and the Rose Girl."
ts18639,Space Warrior Baldios,SHOW,1.0,24,1980,nan,Space Warrior Baldios is a Japanese super robot mecha anime series from 1980.
