id,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts21930,tt0159175,7.9,2116.0,45.82899999999999,8.0
ts25177,tt0159172,7.9,2281.0,41.25,8.1
ts35087,tt0185066,7.8,459.0,5.064,8.3
ts82387,tt0159192,8.0,1738.0,0.6,nan
ts2846,tt0159855,8.1,207.0,12.625,7.3
ts32935,tt0182646,7.8,1159.0,16.793,6.7
ts32687,tt0296386,7.5,2814.0,10.875,7.8
ts53300,tt0121655,7.3,189.0,0.6,10.0
ts4889,tt0287191,7.1,234.0,5.152,7.7
ts18639,tt2106179,7.8,27.0,2.0469999999999997,7.5
ts12564,tt1802896,5.6,55.0,1.02,4.0
ts208160,tt0243695,nan,nan,nan,nan
ts20740,tt0121220,8.8,125554.0,389.99,8.2
ts21560,tt0088509,8.6,55153.0,16.956,8.2
ts14127,tt0091211,8.3,3022.0,63.244,8.5
ts29377,tt0182616,8.5,480.0,7.813,7.7
ts42463,tt0144707,7.0,24.0,11.894,8.3
ts46776,tt0098492,7.7,1656.0,6.968999999999999,7.7
ts77258,nan,nan,nan,0.00011999999999999999,9.0
ts29400,tt0160427,7.7,825.0,17.033,6.8
ts12311,tt0131160,7.3,891.0,10.212,7.4
ts80937,nan,nan,nan,1.031,6.7
ts12843,tt0144736,7.6,263.0,9.065,6.2
ts56937,nan,nan,nan,2.6039999999999996,8.0
ts66982,tt0294184,6.6,51.0,4.143,6.5
ts68963,tt2211702,7.9,25.0,1.4609999999999999,8.0
ts37484,tt4730606,7.5,25.0,0.6,nan
ts28402,nan,nan,nan,2.259,10.0
ts88585,nan,nan,nan,4.654,6.0
ts40897,tt0431563,7.9,10.0,2.892,9.0
ts18589,tt0180345,7.1,51.0,5.735,6.0
ts22544,tt3124918,6.3,35.0,22.717,6.0
ts20339,tt0388629,8.8,112586.0,105.955,8.8
ts34435,tt0213338,8.9,112887.0,34.769,8.5
ts724,tt0279077,8.1,17209.0,24.250999999999998,8.1
ts28078,tt0185133,8.4,13046.0,33.701,8.8
ts29358,tt0285368,8.0,1884.0,11.242,8.3
ts25252,tt4834194,7.2,20888.0,75.438,7.3
ts21034,tt0290223,7.9,15823.0,149.74200000000002,8.6
ts28998,tt0176379,8.0,4498.0,20.233,7.2
ts34554,tt15072540,8.4,19012.0,63.141999999999996,8.6
ts10145,tt0131179,8.5,12734.0,37.134,7.9
ts28125,tt0481256,8.8,6566.0,213.72799999999998,8.7
ts4242,tt0139774,6.8,26274.0,24.059,7.7
ts26215,tt0159182,7.5,975.0,6.045,6.4
ts21278,tt0205410,8.1,1642.0,24.296999999999997,8.5
ts30730,nan,nan,nan,21.969,8.0
ts22286,tt0221735,8.0,4936.0,53.714,8.7
ts28824,tt0219458,5.7,468.0,5.081,6.0
ts30820,tt0965547,8.7,5434.0,33.523,8.7
ts87210,tt0203128,7.7,1091.0,0.6,8.0
ts848,tt0482107,7.4,334.0,4.4910000000000005,9.7
ts53340,tt0111973,7.8,950.0,11.763,8.1
ts28167,tt0115263,7.5,471.0,4.729,8.8
ts6051,tt0324700,7.3,939.0,8.929,6.4
ts12825,tt0278926,6.7,1208.0,4.551,5.8
ts75847,tt8816016,nan,nan,2.376,nan
ts10963,tt2160200,7.2,312.0,15.519,6.7
ts28574,tt0331743,7.2,905.0,7.611000000000001,6.3
ts3077,tt0261463,7.2,473.0,4.533,8.0
ts62420,tt0124971,6.4,320.0,3.3169999999999997,7.0
ts25067,tt0250155,6.3,279.0,3.5660000000000003,7.4
ts447,tt0282384,6.6,314.0,2.753,nan
ts64,tt0300739,7.0,292.0,7.119,8.3
ts31067,tt0192903,7.3,109.0,2.176,9.0
ts43499,nan,nan,nan,1.247,8.3
ts655,nan,nan,nan,4.803,7.7
ts51294,tt0320964,7.5,100.0,1.4,nan
ts44887,tt0108850,6.3,7.0,11.654000000000002,6.6
ts33070,tt0387584,6.5,126.0,2.595,6.5
ts76736,tt0203228,7.3,40.0,3.4010000000000002,7.0
ts42574,tt0301504,7.1,309.0,2.915,4.5
ts6317,tt0466200,7.1,73.0,6.303999999999999,nan
ts43291,tt2147522,6.0,30.0,2.502,8.0
ts34299,tt0236450,7.0,186.0,4.176,9.0
ts25474,tt0299398,7.0,26.0,2.5980000000000003,nan
ts31051,tt2639316,4.8,9.0,3.697,nan
ts13335,tt5287462,6.5,321.0,5.849,7.7
